timestamp,q0,q1,q2,q3,dq0,dq1,dq2,dq3,lease_id
1787111540254580,0,0,0,0,0,0,0,0,123456789
1787111540304900,0,0,0,0,0,0,0,0,123456789
1787111540355221,0,0,0,0,0,0,0,0,123456789
1787111540405516,0,0,0,0,0,0,0,0,123456789
1787111540455987,0,0,0,0,0,0,0,0,123456789
1787111540506248,0,0,0,0,0,0,0,0,123456789
1787111540556555,0,0,0,0,0,0,0,0,123456789
1787111540957765,0,0,0,0,0,0,0,0,123456789
1787111541008083,0,0,0,0,0,0,0,0,123456789
1787111541058439,0,0,0,0,0,0,0,0,123456789
1787111541108673,0,0,0,0,0,0,0,0,123456789
1787111541158998,0,0,0,0,0,0,0,0,123456789
1787111541209358,0,0,0,0,0,0,0,0,123456789
1787111541259649,0,0,0,0,0,0,0,0,123456789
1787111541309952,0,0,0,0,0,0,0,0,123456789
1787111541360425,0,0,0,0,0,0,0,0,123456789
1787111541410726,0,0,0,0,0,0,0,0,123456789
1787111541461099,0,0,0,0,0,0,0,0,123456789
1787111541511432,0,0,0,0,0,0,0,0,123456789
1787111541561887,0,0,0,0,0,0,0,0,123456789
1787111541612181,0,0,0,0,0,0,0,0,123456789
1787111541662458,0,0,0,0,0,0,0,0,123456789
1787111541712773,0,0,0,0,0,0,0,0,123456789
1787111541763272,0,0,0,0,0,0,0,0,123456789
1787111541813560,0,0,0,0,0,0,0,0,123456789
1787111541863828,0,0,0,0,0,0,0,0,123456789
1787111541914132,0,0,0,0,0,0,0,0,123456789
